properties{
  x = 0,
  y = 0,
  width = 2420,
  height = 1040,
  min_layer = 0,
  max_layer = 2,
  tileset = "Fairyolica World",
  music = "Open Source Pack/001Alexander Ehlers - Free Music Pack/Alexander_Ehlers_-_Flags",
}

tile{
  layer = 0,
  x = 1344,
  y = 720,
  width = 56,
  height = 8,
  pattern = "9",
}

tile{
  layer = 0,
  x = 1352,
  y = 696,
  width = 48,
  height = 8,
  pattern = "1344",
}

tile{
  layer = 0,
  x = 1376,
  y = 760,
  width = 8,
  height = 40,
  pattern = "176",
}

tile{
  layer = 0,
  x = 1344,
  y = 768,
  width = 8,
  height = 32,
  pattern = "194",
}

tile{
  layer = 0,
  x = 1256,
  y = 768,
  width = 40,
  height = 8,
  pattern = "416",
}

tile{
  layer = 0,
  x = 1256,
  y = 584,
  width = 8,
  height = 56,
  pattern = "315",
}

tile{
  layer = 0,
  x = 1256,
  y = 424,
  width = 8,
  height = 56,
  pattern = "315",
}

tile{
  layer = 0,
  x = 1256,
  y = 504,
  width = 8,
  height = 56,
  pattern = "315",
}

tile{
  layer = 0,
  x = 1328,
  y = 512,
  width = 48,
  height = 8,
  pattern = "314",
}

tile{
  layer = 0,
  x = 1328,
  y = 584,
  width = 48,
  height = 8,
  pattern = "314",
}

tile{
  layer = 0,
  x = 744,
  y = 592,
  width = 64,
  height = 8,
  pattern = "1642",
}

tile{
  layer = 0,
  x = 728,
  y = 592,
  width = 80,
  height = 104,
  pattern = "308",
}

tile{
  layer = 0,
  x = 736,
  y = 592,
  width = 64,
  height = 16,
  pattern = "1621",
}

tile{
  layer = 0,
  x = 792,
  y = 600,
  width = 16,
  height = 8,
  pattern = "1627",
}

tile{
  layer = 0,
  x = 728,
  y = 600,
  width = 16,
  height = 8,
  pattern = "1626",
}

tile{
  layer = 0,
  x = 1368,
  y = 448,
  width = 8,
  height = 8,
  pattern = "314",
}

tile{
  layer = 0,
  x = 144,
  y = 96,
  width = 24,
  height = 56,
  pattern = "1273",
}

tile{
  layer = 0,
  x = 160,
  y = 144,
  width = 128,
  height = 32,
  pattern = "1250",
}

tile{
  layer = 0,
  x = 952,
  y = 232,
  width = 8,
  height = 8,
  pattern = "416",
}

tile{
  layer = 0,
  x = 648,
  y = 160,
  width = 16,
  height = 32,
  pattern = "113",
}

tile{
  layer = 0,
  x = 672,
  y = 176,
  width = 8,
  height = 8,
  pattern = "1101",
}

tile{
  layer = 0,
  x = 584,
  y = 176,
  width = 8,
  height = 8,
  pattern = "1100",
}

tile{
  layer = 0,
  x = 600,
  y = 160,
  width = 8,
  height = 8,
  pattern = "1100",
}

tile{
  layer = 0,
  x = 616,
  y = 144,
  width = 8,
  height = 8,
  pattern = "1100",
}

tile{
  layer = 0,
  x = 632,
  y = 48,
  width = 16,
  height = 56,
  pattern = "99",
}

tile{
  layer = 0,
  x = 664,
  y = 200,
  width = 16,
  height = 32,
  pattern = "113",
}

tile{
  layer = 0,
  x = 648,
  y = 192,
  width = 16,
  height = 64,
  pattern = "96",
}

tile{
  layer = 0,
  x = 584,
  y = 176,
  width = 16,
  height = 32,
  pattern = "114",
}

tile{
  layer = 0,
  x = 600,
  y = 160,
  width = 16,
  height = 32,
  pattern = "114",
}

tile{
  layer = 0,
  x = 736,
  y = 88,
  width = 8,
  height = 8,
  pattern = "428",
}

tile{
  layer = 0,
  x = 744,
  y = 88,
  width = 144,
  height = 40,
  pattern = "430",
}

tile{
  layer = 0,
  x = 744,
  y = 88,
  width = 152,
  height = 8,
  pattern = "429",
}

tile{
  layer = 0,
  x = 1016,
  y = 944,
  width = 8,
  height = 8,
  pattern = "417",
}

tile{
  layer = 0,
  x = 992,
  y = 944,
  width = 8,
  height = 8,
  pattern = "417",
}

tile{
  layer = 0,
  x = 992,
  y = 968,
  width = 8,
  height = 8,
  pattern = "416",
}

tile{
  layer = 0,
  x = 1016,
  y = 968,
  width = 8,
  height = 8,
  pattern = "416",
}

tile{
  layer = 0,
  x = 1416,
  y = 48,
  width = 48,
  height = 8,
  pattern = "320",
}

tile{
  layer = 0,
  x = 1416,
  y = 40,
  width = 48,
  height = 8,
  pattern = "320",
}

tile{
  layer = 0,
  x = 1424,
  y = 16,
  width = 32,
  height = 8,
  pattern = "320",
}

tile{
  layer = 0,
  x = 1416,
  y = 136,
  width = 48,
  height = 8,
  pattern = "320",
}

tile{
  layer = 0,
  x = 1416,
  y = 128,
  width = 48,
  height = 8,
  pattern = "320",
}

tile{
  layer = 0,
  x = 1424,
  y = 104,
  width = 32,
  height = 8,
  pattern = "320",
}

tile{
  layer = 0,
  x = 1416,
  y = 376,
  width = 48,
  height = 8,
  pattern = "320",
}

tile{
  layer = 0,
  x = 1416,
  y = 368,
  width = 48,
  height = 8,
  pattern = "320",
}

tile{
  layer = 0,
  x = 1424,
  y = 344,
  width = 32,
  height = 8,
  pattern = "320",
}

tile{
  layer = 0,
  x = 1416,
  y = 296,
  width = 48,
  height = 8,
  pattern = "320",
}

tile{
  layer = 0,
  x = 1416,
  y = 288,
  width = 48,
  height = 8,
  pattern = "320",
}

tile{
  layer = 0,
  x = 1424,
  y = 264,
  width = 32,
  height = 8,
  pattern = "320",
}

tile{
  layer = 0,
  x = 1416,
  y = 216,
  width = 48,
  height = 8,
  pattern = "320",
}

tile{
  layer = 0,
  x = 1416,
  y = 208,
  width = 48,
  height = 8,
  pattern = "320",
}

tile{
  layer = 0,
  x = 1424,
  y = 184,
  width = 32,
  height = 8,
  pattern = "320",
}

tile{
  layer = 0,
  x = 1416,
  y = 464,
  width = 48,
  height = 8,
  pattern = "320",
}

tile{
  layer = 0,
  x = 1416,
  y = 456,
  width = 48,
  height = 8,
  pattern = "320",
}

tile{
  layer = 0,
  x = 1424,
  y = 432,
  width = 32,
  height = 8,
  pattern = "320",
}

tile{
  layer = 0,
  x = 1416,
  y = 552,
  width = 48,
  height = 8,
  pattern = "320",
}

tile{
  layer = 0,
  x = 1416,
  y = 544,
  width = 48,
  height = 8,
  pattern = "320",
}

tile{
  layer = 0,
  x = 1336,
  y = 192,
  width = 48,
  height = 8,
  pattern = "320",
}

tile{
  layer = 0,
  x = 1336,
